Jurisdiction of Compiled,Type,Region,Year,StateYear,Prison Population,Incarceration Rate,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,State Politics,"Offending rate, 14-17","Offending rate, 14-24",Unemployment Rate,Poverty Rate,Abortion rate,State Governor,FIPS,Jurisdiction of state_short_new,Private Prison Share,Abortion Leagal,Red_Blue,State,Median_income,per_white_alone,per_black,Conservative,Moderate,Liberal,VeryReligious,Per_noHS,Per_poverty,REGION,DIVISION,POPESTIMATE2013
Nevada,Overall,4,1995,Nevada1995,7713,488,1530000,14461,163,937,4966,8395,86203,20235,54563,11405,945.2,10.7,61.2,324.6,548.7,5634.2,1322.5,3566.2,745.4,Split,14.6,30,0.056,0.111,,D,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,1996,Nevada1996,8325,500,1603000,13005,220,856,4931,6998,83047,19558,52295,11194,811.3,13.7,53.4,307.6,436.6,5180.7,1220.1,3262.3,698.3,Split,46.1,54.1,0.05,0.081,38.4,D,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,1997,Nevada1997,9024,512,1677000,13395,187,1005,5071,7132,88307,21975,53112,13220,798.7,11.2,59.9,302.4,425.3,5265.8,1310.4,3167.1,788.3,Split,25.5,31.7,0.044,0.11,,D,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,1998,Nevada1998,9651,521,1747000,11244,170,911,4453,5710,81006,19873,47367,13766,643.6,9.7,52.1,254.9,326.8,4636.9,1137.6,2711.3,788,Split,36.9,47.2,0.042,0.106,,D,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,1999,Nevada1999,9494,487,1809253,10311,165,943,4209,4994,73874,17613,43167,13094,569.9,9.1,52.1,232.6,276,4083.1,973.5,2385.9,723.7,Split,,,0.04,0.113,27.6,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2000,Nevada2000,10063,499,1998257,10474,129,860,4543,4942,74823,17526,44125,13172,524.2,6.5,43,227.3,247.3,3744.4,877.1,2208.2,659.2,Split,,,0.042,0.088,30.6,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2001,Nevada2001,10233,489,2097722,12359,180,883,4932,6364,77486,17711,45073,14702,589.2,8.6,42.1,235.1,303.4,3693.8,844.3,2148.7,700.9,Split,,,0.052,0.071,,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2002,Nevada2002,10478,484,2167455,13856,181,928,5118,7629,83896,18951,47459,17486,639.3,8.4,42.8,236.1,352,3870.7,874.3,2189.6,806.8,Split,,,0.056,0.089,,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2003,Nevada2003,10543,471,2242207,13813,197,871,5225,7520,96128,21958,53321,20849,616,8.8,38.8,233,335.4,4287.2,979.3,2378.1,929.8,Split,,,0.051,0.109,,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2004,Nevada2004,11365,484,2332898,14379,172,954,4905,8348,98215,23142,52438,22635,616.4,7.4,40.9,210.3,357.8,4210,992,2247.8,970.3,Split,,,0.043,0.109,26.1,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2005,Nevada2005,11782,483,2412301,14654,206,1016,4702,8730,102424,23481,52012,26931,608,8.5,42.1,194.9,361.9,4246,973.4,2156,1116,Split,,,0.041,0.106,26.6,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2006,Nevada2006,12839,509,2495529,18687,226,1092,7038,10331,102338,24902,50429,27007,748.8,9.1,43.8,282,414,4100.9,997.9,2020.8,1082.2,Split,,,0.04,0.095,,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2007,Nevada2007,13400,516,2565382,19365,193,1096,6938,11138,97118,24911,49844,22363,754.9,7.5,42.7,270.4,434.2,3785.7,971,1942.9,871.7,Split,,,0.045,0.097,26.3,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2008,Nevada2008,12743,487,2600167,18973,165,1106,6486,11216,90006,24254,49814,15938,729.7,6.3,42.5,249.4,431.4,3461.5,932.8,1915.8,613,Split,,,0.067,0.108,23.8,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2009,Nevada2009,12482,472,2643085,18639,156,1024,6028,11431,80976,22115,46463,12398,705.2,5.9,38.7,228.1,432.5,3063.7,836.7,1757.9,469.1,Split,,,0.113,0.13,,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2010,Nevada2010,12653,464,2704283,17929,158,965,5298,11508,75004,22286,42533,10185,663,5.8,35.7,195.9,425.5,2773.5,824.1,1572.8,376.6,Split,,,0.135,0.166,,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2011,Nevada2011,12778,461,2720028,15452,139,913,4308,10092,70075,20342,40156,9577,568.1,5.1,33.6,158.4,371,2576.3,747.9,1476.3,352.1,Split,,,0.131,0.155,,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2012,Nevada2012,12883,460,2758931,16763,124,931,4918,10790,77510,22120,45372,10018,607.6,4.5,33.7,178.3,391.1,2809.4,801.8,1644.6,363.1,Split,,,0.112,0.158319507,,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
Nevada,Overall,4,2013,Nevada2013,13056,460,,,,,,,,,,,,,,,,,,,,,,,0.095,0.174,,R,32,Nevada,No Private Prison,0,Blue,NV,55553,0.56,0.08,37.1,37.8,21.5,31.4,15.77,9.47,4,8,2790136
New Hampshire,Overall,1,1978,New Hampshire1978,283,32,871000,1035,12,82,229,712,34393,10101,21630,2662,118.8,1.4,9.4,26.3,81.7,3948.7,1159.7,2483.4,305.6,Split,3.3,1.8,0.038,,23.8,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1979,New Hampshire1979,316,35,887000,1241,21,152,254,814,39373,10635,25856,2882,139.9,2.4,17.1,28.6,91.8,4438.9,1199,2915,324.9,Republican,,7.6,0.032,,22.5,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1980,New Hampshire1980,326,35,919114,1653,23,159,386,1085,41358,12067,26443,2848,179.8,2.5,17.3,42,118,4499.8,1312.9,2877,309.9,Republican,4.2,6.8,0.045,0.07,24,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1981,New Hampshire1981,398,42,935000,1375,27,154,335,859,39034,11090,25692,2252,147.1,2.9,16.5,35.8,91.9,4174.8,1186.1,2747.8,240.9,Republican,,3.7,0.052,0.076,22.2,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1982,New Hampshire1982,445,47,951000,1187,21,154,322,690,35229,8987,24115,2127,124.8,2.2,16.2,33.9,72.6,3704.4,945,2535.8,223.7,Republican,,1.3,0.068,0.103,20.9,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1983,New Hampshire1983,479,50,959000,1200,19,187,231,763,30987,7882,21359,1746,125.1,2,19.5,24.1,79.6,3231.2,821.9,2227.2,182.1,Republican,1.6,3.3,0.055,0.081,,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1984,New Hampshire1984,581,59,977000,1308,10,202,227,869,29347,7190,20314,1843,133.9,1,20.7,23.2,88.9,3003.8,735.9,2079.2,188.6,Republican,,0.7,0.043,0.071,24.4,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1985,New Hampshire1985,683,69,998000,1405,21,191,266,927,31049,7608,21459,1982,140.8,2.1,19.1,26.7,92.9,3111.1,762.3,2150.2,198.6,Republican,,2.7,0.037,0.06,24.6,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1986,New Hampshire1986,782,76,1027000,1433,23,221,242,947,32767,7754,22675,2338,139.5,2.2,21.5,23.6,92.2,3190.6,755,2207.9,227.7,Republican,1.8,4,0.028,0.037,,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1987,New Hampshire1987,867,82,1057000,1581,32,281,280,988,34058,7344,24426,2288,149.6,3,26.6,26.5,93.5,3222.1,694.8,2310.9,216.5,Republican,12.4,12.9,0.023,0.048,21.8,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1988,New Hampshire1988,1019,94,1097000,1622,25,276,231,1090,34951,7489,24964,2498,147.9,2.3,25.2,21.1,99.4,3186.1,682.7,2275.7,227.7,Republican,4.8,4.4,0.024,0.067,22.1,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1989,New Hampshire1989,1166,106,1107000,1865,36,327,264,1238,37945,8157,27087,2701,168.5,3.3,29.5,23.8,111.8,3427.7,736.9,2446.9,244,Republican,4.3,4.1,0.035,0.077,,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1990,New Hampshire1990,1342,121,1109252,1459,21,386,302,750,38976,8158,28111,2707,131.5,1.9,34.8,27.2,67.6,3513.7,735.5,2534.2,244,Republican,8.2,5.5,0.057,0.063,,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1991,New Hampshire1991,1533,138,1105000,1318,40,330,365,583,36780,8126,26220,2434,119.3,3.6,29.9,33,52.8,3328.5,735.4,2372.9,220.3,Republican,2.7,7.1,0.073,0.073,17.9,,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1992,New Hampshire1992,1777,159,1111000,1397,18,424,367,588,32828,6909,23754,2165,125.7,1.6,38.2,33,52.9,2954.8,621.9,2138.1,194.9,Republican,,2.7,0.073,0.087,16.9,R,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1993,New Hampshire1993,1775,157,1125000,1550,23,499,307,721,31131,5795,23153,2183,137.8,2,44.4,27.3,64.1,2767.2,515.1,2058,194,Republican,2.4,4.2,0.061,0.099,,R,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1994,New Hampshire1994,2021,177,1137000,1328,16,407,308,597,29837,5275,22260,2302,116.8,1.4,35.8,27.1,52.5,2624.2,463.9,1957.8,202.5,Republican,,2,0.047,0.077,,R,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1995,New Hampshire1995,2015,174,1148000,1314,21,333,314,646,29170,4806,22698,1666,114.5,1.8,29,27.4,56.3,2540.9,418.6,1977.2,145.1,Republican,2.2,4.2,0.04,0.053,,R,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1996,New Hampshire1996,2062,176,1162000,1373,20,404,317,632,31436,5063,24611,1762,118.2,1.7,34.8,27.3,54.4,2705.3,435.7,2118,151.6,Republican,5.1,4.6,0.038,0.064,17.5,R,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1997,New Hampshire1997,2168,182,1173000,1328,16,395,274,643,29635,4612,23430,1593,113.2,1.4,33.7,23.4,54.8,2526.4,393.2,1997.4,135.8,Republican,,,0.033,0.091,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1998,New Hampshire1998,2169,180,1185000,1270,18,400,255,597,27405,3852,22079,1474,107.2,1.5,33.8,21.5,50.4,2312.7,325.1,1863.2,124.4,Split,,2.1,0.028,0.098,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,1999,New Hampshire1999,2257,185,1201134,1159,18,345,257,539,26247,3698,21195,1354,96.5,1.5,28.7,21.4,44.9,2185.2,307.9,1764.6,112.7,Split,,,0.027,0.076,14.2,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2000,New Hampshire2000,2257,182,1235786,2167,22,522,453,1170,27901,4992,20761,2148,175.4,1.8,42.2,36.7,94.7,2257.8,404,1680,173.8,Republican,,,0.027,0.045,14.9,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2001,New Hampshire2001,2392,190,1259359,2144,17,458,445,1224,27089,4889,20060,2140,170.2,1.3,36.4,35.3,97.2,2151,388.2,1592.9,169.9,Republican,,,0.034,0.065,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2002,New Hampshire2002,2451,193,1274405,2056,12,446,413,1185,26250,4838,19468,1944,161.3,0.9,35,32.4,93,2059.8,379.6,1527.6,152.5,Republican,,,0.045,0.058,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2003,New Hampshire2003,2434,190,1288705,1937,17,438,480,1002,26456,4589,19934,1933,150.3,1.3,34,37.2,77.8,2052.9,356.1,1546.8,150,Republican,,,0.043,0.058,,R,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2004,New Hampshire2004,2448,189,1299169,2202,17,466,500,1219,26658,4979,19723,1956,169.5,1.3,35.9,38.5,93.8,2051.9,383.2,1518.1,150.6,Republican,,,0.038,0.055,12.4,R,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2005,New Hampshire2005,2530,194,1306819,1761,19,406,365,971,24031,4192,18493,1346,135,1.5,31.1,27.9,74.3,1839,320.8,1415,103,Republican,,,0.036,0.056,11.4,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2006,New Hampshire2006,2805,209,1314895,1785,13,295,435,1042,26060,4395,20179,1486,138.8,1,22.4,33.1,79.2,1981.9,334.2,1534.6,113,Republican,,,0.034,0.054,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2007,New Hampshire2007,2943,222,1315828,1896,12,357,451,1076,26394,5074,19909,1411,144.1,0.9,27.1,34.3,81.8,2005.9,385.6,1513,107.2,Republican,,,0.035,0.058,11.3,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2008,New Hampshire2008,2702,204,1315809,2054,14,385,421,1234,28387,4266,22714,1407,156.1,1.1,29.3,32,93.8,2157.4,324.2,1726.2,106.9,Republican,,,0.039,0.07,11.1,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2009,New Hampshire2009,2731,206,1324575,2125,11,399,454,1261,28790,4915,22748,1127,160.4,0.8,30.1,34.3,95.2,2173.5,371.1,1717.4,85.1,Republican,,,0.062,0.078,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2010,New Hampshire2010,2761,210,1316807,2204,13,411,450,1330,29230,5444,22789,997,167.4,1,31.2,34.2,101,2219.8,413.4,1730.6,75.7,Republican,,,0.058,0.065,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2011,New Hampshire2011,2614,198,1317807,2864,16,581,509,1758,32756,6244,25398,1114,217.3,1.2,44.1,38.6,133.4,2485.6,473.8,1927.3,84.5,Republican,,,0.054,0.076,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2012,New Hampshire2012,2790,211,1320718,2481,15,449,472,1545,30693,5444,24226,1023,187.9,1.1,34,35.7,117,2324,412.2,1834.3,77.5,Republican,,,0.055,0.081321159,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Hampshire,Overall,1,2013,New Hampshire2013,3018,215,,,,,,,,,,,,,,,,,,,,,,,0.051,0.09,,D,33,New Hampshire,No Private Prison,0,Blue,NH,64664,0.93,0.01,36.4,35.5,25.4,23.4,8.77,5.17,1,1,1323459
New Jersey,Overall,1,1978,New Jersey1978,5869,74,7327000,31027,398,1727,14112,14790,350501,106700,202726,41075,423.5,5.4,23.6,192.6,201.9,4783.7,1456.3,2766.8,560.6,Democrat,6.5,14.4,0.073,,35,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1979,New Jersey1979,5852,75,7332000,36747,484,2037,18332,15894,390018,117421,221552,51045,501.2,6.6,27.8,250,216.8,5319.4,1601.5,3021.7,696.2,Democrat,9.3,17.2,0.069,,35.2,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1980,New Jersey1980,5884,75,7342164,44373,504,2257,22299,19313,425623,137900,234160,53563,604.4,6.9,30.7,303.7,263,5797,1878.2,3189.3,729.5,Democrat,15.3,22.5,0.072,0.09,36.7,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1981,New Jersey1981,7011,93,7401000,46674,542,2374,24761,18997,410693,128274,231846,50573,630.6,7.3,32.1,334.6,256.7,5549.2,1733.2,3132.6,683.3,Democrat,12.5,18.5,0.074,0.1,37.8,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1982,New Jersey1982,8191,108,7438000,45175,482,2149,22880,19664,377016,106418,223978,46620,607.4,6.5,28.9,307.6,264.4,5068.8,1430.7,3011.3,626.8,Democrat,14.8,17.9,0.087,0.122,38.3,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1983,New Jersey1983,9192,123,7468000,41304,399,2266,20086,18553,344296,92391,206778,45127,553.1,5.3,30.3,269,248.4,4610.3,1237.2,2768.9,604.3,Split,8.6,13.9,0.08,0.111,,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1984,New Jersey1984,10363,138,7515000,39659,402,2446,18218,18593,325231,79871,202181,43179,527.7,5.3,32.5,242.4,247.4,4327.8,1062.8,2690.4,574.6,Split,5.9,14.3,0.062,0.101,39.7,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1985,New Jersey1985,11335,150,7562000,41172,407,2424,19282,19059,344067,79923,213907,50237,544.5,5.4,32.1,255,252,4549.9,1056.9,2828.7,664.3,Split,10.9,14.1,0.056,0.083,41.2,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1986,New Jersey1986,12020,158,7620000,43623,399,2531,20473,20220,355764,81595,215073,59096,572.5,5.2,33.2,268.7,265.4,4668.8,1070.8,2822.5,775.5,Split,9.6,13.6,0.05,0.089,,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1987,New Jersey1987,15969,208,7672000,41507,351,2559,17862,20735,362155,77392,219906,64857,541,4.6,33.4,232.8,270.3,4720.5,1008.8,2866.3,845.4,Democrat,9.9,13,0.041,0.083,36.4,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1988,New Jersey1988,16936,220,7720000,44993,411,2600,18927,23055,363807,75675,219086,69046,582.8,5.3,33.7,245.2,298.6,4712.5,980.2,2837.9,894.4,Democrat,13.4,18.2,0.038,0.062,36.4,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1989,New Jersey1989,19439,252,7736000,47111,394,2449,21139,23129,360532,75548,213878,71106,609,5.1,31.7,273.3,299,4660.4,976.6,2764.7,919.2,Democrat,11.1,16.7,0.041,0.082,,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1990,New Jersey1990,21128,272,7730188,50057,432,2307,23269,24049,371023,78628,219767,72628,647.6,5.6,29.8,301,311.1,4799.7,1017.2,2843,939.5,Democrat,14.8,19.8,0.05,0.092,,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1991,New Jersey1991,23483,301,7760000,49257,406,2259,22744,23848,372212,78821,221544,71847,634.8,5.2,29.1,293.1,307.3,4796.5,1015.7,2854.9,925.9,Democrat,17.8,22.1,0.067,0.097,32,,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1992,New Jersey1992,22653,287,7789000,48745,397,2392,22216,23740,345718,75508,206686,63524,625.8,5.1,30.7,285.2,304.8,4438.5,969.4,2653.6,815.6,Republican,15.9,22.3,0.084,0.103,32.1,D,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1993,New Jersey1993,23831,300,7879000,49390,418,2215,23319,23438,328867,76738,195876,56253,626.9,5.3,28.1,296,297.5,4174,974,2486.1,714,Republican,18.3,24.3,0.076,0.109,,D,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1994,New Jersey1994,24632,307,7904000,48544,396,1972,22762,23414,319856,72074,195618,52164,614.2,5,24.9,288,296.2,4046.8,911.9,2474.9,660,Republican,13.2,20.1,0.068,0.092,,R,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1995,New Jersey1995,27066,335,7945000,47652,409,1927,22486,22830,326056,69533,206339,50184,599.8,5.1,24.3,283,287.4,4103.9,875.2,2597.1,631.6,Republican,16.5,22.6,0.064,0.078,,R,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1996,New Jersey1996,27490,337,7988000,42459,338,1976,18838,21307,303657,63259,193961,46437,531.5,4.2,24.7,235.8,266.7,3801.4,791.9,2428.2,581.3,Republican,11.8,22.4,0.061,0.092,35.4,R,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
New Jersey,Overall,1,1997,New Jersey1997,28361,345,8053000,39673,337,1729,16957,20650,287038,60894,184979,41165,492.6,4.2,21.5,210.6,256.4,3564.4,756.2,2297,511.2,Republican,12.4,20.2,0.053,0.093,,R,34,New Jersey,Middle Private Prison,0,Blue,NJ,71180,0.61,0.13,32,37.6,26.5,34.7,12.36,6.99,1,2,8899339
